,MarketCap,Market Category
AAME,40959000.0,G
AAOI,243555008.0,G
ABTX,775382656.0,G
ACIU,641376704.0,G
ACMR,665991872.0,G
ACRX,140446336.0,G
ADES,207638016.0,G
ADMA,246764528.0,G
ADMS,147088656.0,G
ADVM,699488064.0,G
AERI,979468160.0,G
AEY,22276796.0,G
AFMD,210389008.0,G
AGLE,215652128.0,G
AGTC,132629952.0,G
AIH,179694176.0,G
AIRT,64255752.0,G
AIRTP,598614144.0,G
AIRTW,182665.0,G
AKBA,931323712.0,G
ALJJ,51872544.0,G
ALOT,90490496.0,G
ALPN,55205768.0,G
ALT,28327936.0,G
ALTM,675852288.0,G
AMAL,543005184.0,G
AMOT,451100256.0,G
AMRN,7043550208.0,G
AMTX,18504952.0,G
ANIP,742206016.0,G
APEN,60738472.0,G
APLT,923059008.0,G
APM,430300160.0,G
APPF,4301220352.0,G
APPN,3439246336.0,G
AQST,134357584.0,G
ARCT,163641792.0,G
ARDX,485007136.0,G
ARKR,77815760.0,G
ASLN,51150680.0,G
ASPU,185164432.0,G
ASRV,70790288.0,G
ASRVP,,G
ATRC,1583206528.0,G
AUBN,206480096.0,G
AUPH,2029151616.0,G
AVDL,264024624.0,G
AWRE,76647680.0,G
AXLA,117981576.0,G
AXSM,3339511296.0,G
BBGI,106481736.0,G
BCBP,240330496.0,G
BKEP,47343660.0,G
BKEPP,226477616.0,G
BLBD,529005536.0,G
BLCM,69894576.0,G
BLDP,2315225600.0,G
BMLP,29005406208.0,G
BNFT,607323264.0,G
BOCH,199869744.0,G
BRID,195560304.0,G
BSQR,18175220.0,G
BWAY,120837040.0,G
BWFG,218453056.0,G
CAMT,476282048.0,G
CAN,877721408.0,G
CARA,758066944.0,G
CATB,67008092.0,G
CBAN,144286464.0,G
CBFV,161890832.0,G
CDLX,2211463424.0,G
CDNA,1034547200.0,G
CDTX,121947480.0,G
CDZI,250193920.0,G
CERS,604588672.0,G
CGEN,472191264.0,G
CHRS,1324742400.0,G
CIFS,19011578.0,G
CIZN,119985576.0,G
CLCT,222655104.0,G
CLFD,184376256.0,G
CLLS,672343552.0,G
CLPS,50834660.0,G
CLSD,147057216.0,G
CLUB,65744532.0,G
CLXT,194841040.0,G
CMBM,188412832.0,G
CMCT,224142240.0,G
CMCTP,891665280.0,G
CMLS,251940080.0,G
CMRX,109874312.0,G
CNCE,262014784.0,G
CNFR,37618096.0,G
CNFRL,,G
CNTG,222843792.0,G
CPHC,58049020.0,G
CPSS,79984696.0,G
CRBP,430721504.0,G
CRIS,54784784.0,G
CRON,2585410560.0,G
CRSP,3078312704.0,G
CRVS,184556960.0,G
CSPI,59743804.0,G
CSSE,96806120.0,G
CSSEP,91087736.0,G
CSTL,511024832.0,G
CVLY,217656352.0,G
CWBC,94208640.0,G
CYAD,167275760.0,G
CYBE,165659360.0,G
CZWI,135011008.0,G
DGLD,,G
DOGZ,29541504.0,G
DOMO,695254208.0,G
DRAD,5777446.0,G
DRADP,,G
DSLV,,G
DSWL,45358320.0,G
DTEA,37095764.0,G
DUO,973461888.0,G
DXYN,22744538.0,G
EBMT,145242352.0,G
EDAP,116861544.0,G
EDUC,48647472.0,G
EGRX,772559488.0,G
EH,612063104.0,G
EIGR,308637024.0,G
ELOX,162810992.0,G
EMKR,100106528.0,G
EML,178166416.0,G
ENPH,3991007488.0,G
EOLS,335417856.0,G
EPSN,78854976.0,G
EQ,85925312.0,G
ESCA,130524744.0,G
ESPR,1507652608.0,G
ESTRW,,G
ETNB,421529728.0,G
ETON,125065312.0,G
ETTX,65791324.0,G
EVBG,3092844544.0,G
EVER,993240192.0,G
EVGBC,,G
EVGN,41613736.0,G
EVK,19982430.0,G
EVLMC,,G
EVOP,2295526656.0,G
EVSTC,,G
EXPI,750167936.0,G
EYPT,208125216.0,G
FATE,1972969600.0,G
FBMS,642286592.0,G
FCCY,221261792.0,G
FCEL,364971200.0,G
FDBC,226890000.0,G
FEIM,83716320.0,G
FFWM,752863104.0,G
FGBI,191236048.0,G
FIVN,4402545664.0,G
FLGT,248474112.0,G
FLNT,205373248.0,G
FLXN,678366208.0,G
FMBH,559062464.0,G
FNHC,231993152.0,G
FNWB,177115952.0,G
FOLD,2358785024.0,G
FOMX,246240272.0,G
FRBA,210317488.0,G
FRBK,206538224.0,G
FRG,445209888.0,G
FRPT,2390969088.0,G
FSCT,1402698112.0,G
FULC,417094752.0,G
FUTU,1280325760.0,G
GAIA,156640208.0,G
GCVRZ,1084977024.0,G
GDEN,505365856.0,G
GDS,8104478208.0,G
GECC,81004736.0,G
GECCL,291679104.0,G
GECCM,,G
GECCN,,G
GENC,157239232.0,G
GFED,105454808.0,G
GFN,332649824.0,G
GFNCP,256116608.0,G
GFNSL,695895936.0,G
GLDI,,G
GLYC,191650768.0,G
GMDA,151166176.0,G
GNLN,111491512.0,G
GNMK,314795776.0,G
GPP,337966432.0,G
GRIF,203259888.0,G
GRTX,345324576.0,G
GRVY,237304944.0,G
GWPH,3512633088.0,G
GWRS,291473216.0,G
HABT,363801472.0,G
HALL,322772416.0,G
HBIO,114738840.0,G
HCAP,52739832.0,G
HCAPZ,163317968.0,G
HEAR,119186216.0,G
HIFS,435284992.0,G
HIIQ,319939136.0,G
HLG,1789515648.0,G
HMNF,100267080.0,G
HMTV,549489088.0,G
HOVNP,915142848.0,G
HTIA,,G
ICBK,173243680.0,G
ICLK,193231232.0,G
IEC,94488792.0,G
IESC,562880128.0,G
III,130247272.0,G
IIN,160385456.0,G
IMAB,769176832.0,G
IMMP,81732264.0,G
IMMU,4055873280.0,G
INOD,29286014.0,G
IOVA,2814148352.0,G
IRIX,37899952.0,G
ISTR,257364096.0,G
ITRM,39551540.0,G
JCS,58748856.0,G
JFIN,198485008.0,G
JFU,1814492032.0,G
JG,315562496.0,G
JMPNL,,G
JMPNZ,,G
KALV,292642176.0,G
KEQU,34511508.0,G
KFFB,63569116.0,G
KIDS,800176384.0,G
KOD,2777718528.0,G
KRKR,266209520.0,G
KRTX,2582030592.0,G
KRUS,190705936.0,G
KRYS,958238656.0,G
KTCC,64773392.0,G
LAKE,105610088.0,G
LAND,283273536.0,G
LANDP,235085600.0,G
LARK,116032840.0,G
LGND,1577632384.0,G
LIZI,503998880.0,G
LMAT,717287872.0,G
LMNL,231088992.0,G
LMRK,435059200.0,G
LMRKN,447483616.0,G
LMRKO,405917792.0,G
LMRKP,398688608.0,G
LNTH,715100352.0,G
LOGC,228555280.0,G
LONE,47403048.0,G
LOOP,396248256.0,G
LOVE,178388624.0,G
LPTX,46696156.0,G
LSBK,91643680.0,G
LWAY,39003348.0,G
LX,2495603200.0,G
MACK,44745676.0,G
MAGS,91791488.0,G
MBIO,162659648.0,G
MBUU,892578560.0,G
MCFT,343708416.0,G
MDB,9171751936.0,G
MDWD,82894720.0,G
MFSF,313458240.0,G
MGTA,523628992.0,G
MGYR,73341456.0,G
MIRM,432858976.0,G
MITO,93767184.0,G
MJCO,313419072.0,G
MLVF,164540880.0,G
MNDO,48248152.0,G
MNKD,331166112.0,G
MNOV,264367264.0,G
MOHO,245942912.0,G
MORF,644116352.0,G
MPB,218458128.0,G
MRAM,87564016.0,G
MREO,31759496.0,G
MRIN,9235160.0,G
MRKR,125853664.0,G
MRNS,179922288.0,G
MRUS,494689184.0,G
MSBF,89229080.0,G
MSON,275210400.0,G
MTBC,58251456.0,G
MTBCP,56437972.0,G
NAII,58974300.0,G
NBN,181992336.0,G
NEOS,91186176.0,G
NERV,304188064.0,G
NEWT,415937824.0,G
NEWTI,438165920.0,G
NEWTL,,G
NGHC,2507948544.0,G
NGHCN,2785549312.0,G
NGHCO,2751514368.0,G
NGHCP,2765893888.0,G
NGHCZ,2716480000.0,G
NIU,658625792.0,G
NLNK,61978124.0,G
NLTX,553085504.0,G
NMIH,2225358080.0,G
NOVN,16977638.0,G
NSEC,38099828.0,G
NSTG,1041707520.0,G
NTIC,134184288.0,G
NTLA,643535488.0,G
NWFL,222743872.0,G
OBAS,58012460.0,G
OBLN,14081082.0,G
OCC,25714088.0,G
OCUL,211309840.0,G
OFLX,1088720768.0,G
OLLI,3566350848.0,G
OMER,731392256.0,G
OPBK,157661136.0,G
OSTK,325694016.0,G
OVBC,169041392.0,G
OXFD,428963840.0,G
PAHC,1029341824.0,G
PBIP,159139952.0,G
PDLB,252401408.0,G
PEBK,168204944.0,G
PFBI,251388848.0,G
PFIN,22069546.0,G
PFPT,7244203520.0,G
PHAS,147427280.0,G
PIH,36112000.0,G
PIHPP,35393236.0,G
PNBK,52251168.0,G
PPIH,72697960.0,G
PRCP,58735824.0,G
PRMW,582213760.0,G
PRQR,387536448.0,G
PRTK,116840664.0,G
PRVL,639958144.0,G
PSNL,363407584.0,G
PT,102409224.0,G
PTGX,204864192.0,G
PTI,89987040.0,G
PTSI,312153408.0,G
PTVCA,234973792.0,G
PTVCB,225837648.0,G
PUYI,311223840.0,G
PWFL,214503856.0,G
PXLW,163250032.0,G
QCRH,659240384.0,G
QFIN,1386402560.0,G
QK,585206464.0,G
QTNT,632364480.0,G
QTRX,770967296.0,G
RAPT,987972928.0,G
RARX,2219157504.0,G
RCMT,36405796.0,G
RDHL,202696640.0,G
RDNT,1156251392.0,G
RDUS,883739712.0,G
REDU,378400704.0,G
RETA,6401251840.0,G
RFIL,59691404.0,G
RGCO,206391808.0,G
RILY,737629504.0,G
RILYG,538683968.0,G
RILYH,574419520.0,G
RILYI,,G
RILYN,,G
RILYO,,G
RILYP,,G
RILYZ,535087680.0,G
RIVE,130980344.0,G
RMCF,50625012.0,G
RMNI,343082080.0,G
RMTI,180355632.0,G
RNDB,92260864.0,G
RPD,3020847360.0,G
RTRX,674446848.0,G
RVNC,1228733952.0,G
RYTM,787161088.0,G
SAGE,3574889216.0,G
SALM,38690932.0,G
SAMG,176208256.0,G
SBBX,228555072.0,G
SCYX,88992720.0,G
SECO,331613024.0,G
SELB,254060640.0,G
SESN,103401920.0,G
SFST,304602144.0,G
SGA,182206656.0,G
SGC,199409648.0,G
SIBN,573202880.0,G
SIGA,431315296.0,G
SILK,1378457728.0,G
SITM,368224992.0,G
SLCT,214751968.0,G
SLGL,272009280.0,G
SLVO,,G
SMBC,332736352.0,G
SMMT,90016616.0,G
SMTX,105369376.0,G
SNDE,7006307328.0,G
SNFCA,107993920.0,G
SOHO,90345640.0,G
SOHOB,116110808.0,G
SOHON,116850120.0,G
SOHOO,117714848.0,G
SONA,365866112.0,G
SONM,71455880.0,G
SORL,88223400.0,G
SSBI,79815240.0,G
STAA,1640287616.0,G
STIM,77076360.0,G
STRO,233672816.0,G
STRT,83488168.0,G
STSA,506762304.0,G
SUPN,1257535616.0,G
SURF,74168248.0,G
SY,1322429184.0,G
SYBX,86140976.0,G
SYNC,63485208.0,G
SYNL,118614448.0,G
TACT,79670216.0,G
TATT,48730432.0,G
TBPH,1563233792.0,G
TCMD,1103361792.0,G
TELA,174161984.0,G
TLC,204829952.0,G
TLND,1165148928.0,G
TLSA,68374248.0,G
TMDX,396607744.0,G
TNDM,4465059328.0,G
TOUR,265734016.0,G
TPCO,458934272.0,G
TPIC,735980224.0,G
TRHC,1240149248.0,G
TRNS,234605552.0,G
TRUP,1129499904.0,G
TRVI,95771800.0,G
TSBK,235414416.0,G
TTD,12786575360.0,G
TTGT,735105024.0,G
TTOO,49139196.0,G
TURN,68778736.0,G
TVIX,,G
UBOH,75099744.0,G
UG,78333152.0,G
UGLD,,G
ULBI,112266848.0,G
UNAM,35926496.0,G
UNB,154405680.0,G
UNTY,235274672.0,G
UPLD,1008170496.0,G
URGN,660647616.0,G
USLV,,G
USOI,,G
VBLT,55974512.0,G
VBTX,1440014080.0,G
VCYT,1352483200.0,G
VERI,53155012.0,G
VERO,205448128.0,G
VIIX,,G
VIRC,64896756.0,G
VNDA,720850944.0,G
VRAY,479100192.0,G
VRNA,74477280.0,G
VSTM,140520928.0,G
WINA,719533504.0,G
WKEY,118216664.0,G
WLDN,387476992.0,G
WLFC,358741600.0,G
WSTG,73713088.0,G
WVE,252029296.0,G
WVFC,32421970.0,G
XELB,30143538.0,G
XENE,467588832.0,G
XENT,826950976.0,G
XGN,304039008.0,G
XLRN,4221064448.0,G
XNCR,1918878336.0,G
XOMA,209655040.0,G
YI,585384320.0,G
YJ,1169375872.0,G
ZGNX,2258765056.0,G
ZIONL,,G
ZIONN,,G
ZIONO,,G
ZIONP,,G
ZIV,,G
ZLAB,3648509696.0,G
ZYNE,117845840.0,G
AAON,2815354368.0,Q
AAPL,1430315728896.0,Q
AAWW,602274560.0,Q
AAXN,4757961216.0,Q
ABCB,2853826048.0,Q
ABMD,8546731520.0,Q
ABUS,179071072.0,Q
ACAD,6228770304.0,Q
ACBI,385454752.0,Q
ACGL,17995675648.0,Q
ACGLO,15367311360.0,Q
ACGLP,15623412736.0,Q
ACHC,2880283392.0,Q
ACIA,2835132160.0,Q
ACIW,4043652864.0,Q
ACLS,788805376.0,Q
ACOR,102784632.0,Q
ACRS,56093696.0,Q
ACTG,124703616.0,Q
ADAP,448536352.0,Q
ADBE,172384321536.0,Q
ADI,42016477184.0,Q
ADP,74664198144.0,Q
ADPT,3869854208.0,Q
ADRO,113525440.0,Q
ADSK,44266233856.0,Q
ADTN,454828128.0,Q
ADUS,1541498752.0,Q
ADXS,36405420.0,Q
AEGN,671165760.0,Q
AEIS,2799740160.0,Q
AFIN,1406055552.0,Q
AFINP,1133731200.0,Q
AFYA,2610661888.0,Q
AGFS,118731904.0,Q
AGFSW,,Q
AGIO,3629447680.0,Q
AGNC,10080007168.0,Q
AGNCM,9214430208.0,Q
AGNCN,9063671808.0,Q
AGNCO,,Q
AGYS,839640192.0,Q
AIMC,2217052160.0,Q
AIMT,2047188352.0,Q
AINV,1171204352.0,Q
AKAM,15432894464.0,Q
AKCA,1885500160.0,Q
AKRO,689692608.0,Q
AKRX,182911712.0,Q
ALCO,278894432.0,Q
ALEC,1837505664.0,Q
ALGN,20934703104.0,Q
ALGT,2703385856.0,Q
ALKS,2814130432.0,Q
ALLK,3700539904.0,Q
ALLO,2691596032.0,Q
ALLT,333901440.0,Q
ALNA,59837532.0,Q
ALNY,13103419392.0,Q
ALRM,2218301440.0,Q
ALSK,109203896.0,Q
ALTR,2681469184.0,Q
ALXN,23941474304.0,Q
AMAG,339158016.0,Q
AMAT,55110451200.0,Q
AMBA,1968073344.0,Q
AMBC,992617344.0,Q
AMBCW,,Q
AMCX,2047875328.0,Q
AMD,54881464320.0,Q
AMED,5923685888.0,Q
AMGN,135664091136.0,Q
AMKR,2879793920.0,Q
AMNB,390713248.0,Q
AMPH,940637568.0,Q
AMRB,90096664.0,Q
AMRK,56040656.0,Q
AMRS,292261504.0,Q
AMSC,147709392.0,Q
AMSF,1290996992.0,Q
AMSWA,489524544.0,Q
AMTB,790855360.0,Q
AMTBB,826254400.0,Q
AMTD,26307592192.0,Q
AMWD,1934973440.0,Q
AMZN,925966860288.0,Q
ANAB,386381024.0,Q
ANAT,2995771648.0,Q
ANDE,747518016.0,Q
ANGI,4349219840.0,Q
ANGO,533908672.0,Q
ANIK,651255424.0,Q
ANSS,23944683520.0,Q
AOBC,525832576.0,Q
AOSL,321767040.0,Q
APEI,372093824.0,Q
APLS,3152106496.0,Q
APOG,876881408.0,Q
APRE,715041344.0,Q
APTX,177402960.0,Q
APYX,263436816.0,Q
ARAV,157122400.0,Q
ARAY,382280512.0,Q
ARCB,651191168.0,Q
ARCC,8097461760.0,Q
ARCE,2607039744.0,Q
ARGX,6352712704.0,Q
ARLP,1173338368.0,Q
ARNA,2239536896.0,Q
AROW,531965280.0,Q
ARTNA,362884192.0,Q
ARVN,2028326656.0,Q
ARWR,4446653952.0,Q
ASFI,67713608.0,Q
ASMB,554543552.0,Q
ASML,125757988864.0,Q
ASNA,52753044.0,Q
ASND,6530299392.0,Q
ASPS,291502592.0,Q
ASRT,90362720.0,Q
ASTE,933304128.0,Q
ASYS,94693440.0,Q
ATAX,478036928.0,Q
ATEC,403143104.0,Q
ATLC,219479328.0,Q
ATNI,915417024.0,Q
ATNX,1101959552.0,Q
ATRA,752693312.0,Q
ATRI,1322289792.0,Q
ATRO,850865344.0,Q
ATSG,1256604160.0,Q
ATVI,46333759488.0,Q
AUB,2734440960.0,Q
AUDC,656738688.0,Q
AUTL,466917312.0,Q
AVAV,1603771520.0,Q
AVGO,127231623168.0,Q
AVGOP,,Q
AVID,377111008.0,Q
AVNW,74891080.0,Q
AVRO,679593088.0,Q
AVT,3888581120.0,Q
AXGT,87975960.0,Q
AXNX,1039142208.0,Q
AXTI,176766016.0,Q
AY,2869240576.0,Q
AZPN,9596865536.0,Q
BAND,1720304640.0,Q
BANF,1938445056.0,Q
BANFP,,Q
BANR,1859604224.0,Q
BANX,143704624.0,Q
BATRA,1493348352.0,Q
BATRK,1494979200.0,Q
BBBY,2061846656.0,Q
BBIO,4225029120.0,Q
BBQ,38857640.0,Q
BBSI,626596736.0,Q
BCEL,537104576.0,Q
BCML,291220864.0,Q
BCOM,189714592.0,Q
BCOR,1130587904.0,Q
BCOV,344939136.0,Q
BCPC,3505112320.0,Q
BCRX,456014656.0,Q
BCYC,199438320.0,Q
BDGE,622236544.0,Q
BDSI,534304704.0,Q
BEAT,1783241088.0,Q
BECN,2286191616.0,Q
BELFA,201903408.0,Q
BELFB,218465280.0,Q
BFIN,196633456.0,Q
BFST,333446720.0,Q
BGCP,2050032640.0,Q
BGFV,84736352.0,Q
BGNE,12666714112.0,Q
BHF,4318907392.0,Q
BHFAL,5593860608.0,Q
BHFAP,4600866304.0,Q
BIDU,43939123200.0,Q
BIIB,50678935552.0,Q
BILI,7344290304.0,Q
BJRI,790078144.0,Q
BKCC,344869888.0,Q
BKNG,79483977728.0,Q
BL,3337245184.0,Q
BLDR,3044040448.0,Q
BLKB,3966399232.0,Q
BLMN,1812876800.0,Q
BLU,512575808.0,Q
BLUE,4608242688.0,Q
BMCH,2041873280.0,Q
BMRN,15555523584.0,Q
BMTC,775667648.0,Q
BNTX,7311387648.0,Q
BOKF,5665805824.0,Q
BOKFL,5463294976.0,Q
BOOM,624936256.0,Q
BPFH,968796416.0,Q
BPMC,3303921152.0,Q
BPOP,5435293184.0,Q
BPOPM,,Q
BPOPN,,Q
BPR,1250885248.0,Q
BPRAP,1854165376.0,Q
BPRN,214808352.0,Q
BPY,18128830464.0,Q
BPYPO,,Q
BPYPP,17432774656.0,Q
BREW,320025216.0,Q
BRKL,1216216576.0,Q
BRKR,8000654848.0,Q
BRKS,2839438592.0,Q
BRP,1006718528.0,Q
BRY,565361856.0,Q
BSET,127469160.0,Q
BSRR,416044064.0,Q
BSVN,4252432640.0,Q
BUSE,1446380928.0,Q
BYND,7143923200.0,Q
BZUN,1989558144.0,Q
CABA,445830688.0,Q
CAC,715580864.0,Q
CACC,8628670464.0,Q
CAKE,1748305920.0,Q
CALA,419735008.0,Q
CALM,1768776832.0,Q
CAMP,332023552.0,Q
CAR,2474627328.0,Q
CARE,533524832.0,Q
CARG,4055912192.0,Q
CASA,362919648.0,Q
CASH,1363833344.0,Q
CASS,814196416.0,Q
CASY,6041916416.0,Q
CATM,2047764992.0,Q
CATY,2924431104.0,Q
CBAY,126753344.0,Q
CBMG,329312640.0,Q
CBNK,192859824.0,Q
CBPO,4486188032.0,Q
CBRL,3769901824.0,Q
CBSH,7665343488.0,Q
CBSHP,6365803520.0,Q
CBTX,778674176.0,Q
CCB,209202816.0,Q
CCBG,473407648.0,Q
CCD,535829472.0,Q
CCLP,99330928.0,Q
CCMP,4483849216.0,Q
CCNE,457440000.0,Q
CCOI,3446374144.0,Q
CCRN,387946048.0,Q
CCXI,2370075136.0,Q
CDK,6567025152.0,Q
CDNS,20648837120.0,Q
CDW,19448659968.0,Q
CDXS,963207872.0,Q
CECE,258688768.0,Q
CENT,1710316160.0,Q
CENTA,1707290112.0,Q
CENX,468025856.0,Q
CERN,22947926016.0,Q
CETV,1133623296.0,Q
CEVA,643512256.0,Q
CFB,697946368.0,Q
CFFI,189456256.0,Q
CFFN,1923039360.0,Q
CFMS,71460480.0,Q
CG,11703139328.0,Q
CGBD,818995264.0,Q
CGNX,9358318592.0,Q
CGO,114911968.0,Q
CHCO,1245480448.0,Q
CHDN,5798130688.0,Q
CHEF,1112325760.0,Q
CHI,796546944.0,Q
CHKP,17806546944.0,Q
CHMA,199577904.0,Q
